G_Node,H_Node,Match_Value
3,6,1.0
6,3,1.0
8,9,1.0
9,317,1.0
12,341,1.0
19,372,1.0
27,144,1.0
36,176,1.0
38,770,1.0
41,495,1.0
42,38,1.0
48,1118,1.0
51,72,1.0
68,250,1.0
72,713,1.0
95,36,1.0
103,105,1.0
128,193,1.0
144,638,1.0
176,392,1.0
193,498,1.0
194,212,1.0
204,277,1.0
212,32,1.0
249,617,1.0
250,598,1.0
254,308,1.0
263,342,1.0
281,626,1.0
297,454,1.0
308,204,1.0
317,683,1.0
325,97,1.0
341,194,1.0
342,325,1.0
357,263,1.0
372,557,1.0
389,950,1.0
392,509,1.0
398,652,1.0
400,1072,1.0
431,400,1.0
454,254,1.0
474,753,1.0
482,1231,1.0
495,103,1.0
509,297,1.0
536,321,1.0
542,128,1.0
557,378,1.0
586,51,1.0
598,697,1.0
605,1189,1.0
617,398,1.0
638,462,1.0
644,834,1.0
652,41,1.0
654,1236,1.0
681,68,1.0
683,681,1.0
711,249,1.0
712,482,1.0
713,711,1.0
753,281,1.0
758,63,1.0
783,475,1.0
823,542,1.0
950,536,1.0
1072,758,1.0
1113,502,1.0
1118,396,1.0
1189,823,1.0
1231,67,1.0
1236,586,1.0
1255,48,1.0
